card_id,total_transactions,total_amount,avg_amount,median_amount,std_amount,min_amount,max_amount,preferred_hour,preferred_day,unique_merchants,unique_categories,unique_cities,purchase_count,preferred_pos_mode,preferred_wallet,amount_range,purchase_ratio,avg_merchants_per_transaction,spending_consistency,activity_level,spending_level,cluster
10021,1726,50747878.43,29402.02,28000.0,22233.37,224.1,290006.32,19,5,88,11,6,0,Contactless,Bank's QR,289782.22000000003,0.0,0.05098493626882966,0.5694160536019965,Средняя,Средний,0
10022,6016,32748860.96,5443.63,1679.98,12837.88,100.0,498069.3,8,6,432,13,6,0,QR_Code,Bank's QR,497969.3,0.0,0.07180851063829788,0.2977669787670712,Высокая,Средний,0
10023,4719,112763445.06,23895.62,10097.12,50831.97,100.0,1739605.34,8,6,432,13,6,0,ECOM,Bank's QR,1739505.34,0.0,0.09154481881754609,0.3197697128998807,Высокая,Высокий,0
10025,692,20547849.08,29693.42,9762.66,64049.91,148.46,584353.91,13,5,149,13,6,0,ECOM,Bank's QR,584205.4500000001,0.0,0.2153179190751445,0.31675234920713824,Низкая,Низкий,0
10026,1314,6272726.96,4773.76,1607.63,9054.76,100.0,79000.0,19,6,187,13,6,0,QR_Code,Bank's QR,78900.0,0.0,0.14231354642313546,0.34521120119868215,Низкая,Низкий,0
10028,8173,246766809.1,30192.93,13153.4,88286.05,100.0,3906260.1,8,5,477,13,6,0,Contactless,Bank's QR,3906160.1,0.0,0.058362902239079896,0.25483786237862616,Высокая,Премиум,0
10029,4312,185237097.33,42958.51,12739.81,227276.45,100.0,9200140.58,18,5,406,13,6,0,Contactless,Bank's QR,9200040.58,0.0,0.09415584415584416,0.15896725575402976,Высокая,Премиум,0
10030,5054,24657995.63,4878.91,1589.72,11079.59,100.0,330893.11,8,6,405,13,6,0,QR_Code,Bank's QR,330793.11,0.0,0.08013454689354967,0.3057248488266441,Высокая,Средний,0
10031,5791,220393234.91,38057.89,11354.23,116547.96,205.55,2801418.66,8,5,489,13,6,0,QR_Code,Bank's QR,2801213.1100000003,0.0,0.08444137454671041,0.24616073712605313,Высокая,Премиум,0
10032,7681,51208578.51,6666.92,1786.52,18437.98,100.0,488494.42,19,5,495,13,6,0,QR_Code,Bank's QR,488394.42,0.0,0.06444473375862518,0.2655624997510446,Высокая,Средний,0
10033,79,1228275.02,15547.79,3714.87,52873.85,164.18,460411.04,14,5,31,10,5,0,ECOM,Samsung Pay,460246.86,0.0,0.3924050632911392,0.22723498004432519,Низкая,Низкий,0
10034,2320,104473354.59,45031.62,16257.16,184483.58,196.45,6741854.15,19,6,314,13,6,0,ECOM,Bank's QR,6741657.7,0.0,0.1353448275862069,0.19620321442762834,Средняя,Высокий,0
10035,594,21952200.4,36956.57,27000.0,61589.67,395.91,822464.61,19,6,59,13,5,0,Contactless,Bank's QR,822068.7,0.0,0.09932659932659933,0.37501755521063007,Низкая,Средний,0
10036,14836,100108799.1,6747.69,2627.54,18552.75,100.0,616911.07,8,6,500,13,6,0,QR_Code,Bank's QR,616811.07,0.0,0.033701806416823944,0.2667024763205699,Очень высокая,Высокий,0
10037,15495,398350272.61,25708.31,7871.04,90344.69,100.0,4693844.17,8,5,500,13,6,0,QR_Code,Bank's QR,4693744.17,0.0,0.032268473701193935,0.22152214936279116,Очень высокая,Премиум,0
10038,7108,145994718.54,20539.49,7445.58,60641.67,100.0,2530624.96,8,5,487,13,6,0,QR_Code,Bank's QR,2530524.96,0.0,0.06851435002813731,0.253008087098041,Высокая,Высокий,0
10039,19852,324009470.26,16321.25,3553.55,58371.2,100.0,2594642.09,8,6,500,13,6,0,QR_Code,Bank's QR,2594542.09,0.0,0.025186379206125327,0.21851271447114132,Очень высокая,Премиум,0
10040,1410,48167654.55,34161.46,10814.14,130490.39,235.73,2742040.33,19,6,253,13,6,0,ECOM,Bank's QR,2741804.6,0.0,0.1794326241134752,0.2074769278328789,Средняя,Средний,0
10041,19456,167668370.04,8617.82,2567.26,23186.8,100.0,1036481.82,8,6,500,13,6,0,QR_Code,Bank's QR,1036381.82,0.0,0.025699013157894735,0.27096126286055294,Очень высокая,Высокий,0
10042,2325,31661049.79,13617.66,4074.19,42139.54,100.0,1094615.92,8,5,372,13,6,0,ECOM,Google Pay,1094515.92,0.0,0.16,0.2442314176465102,Средняя,Средний,0
10043,18655,307509202.06,16484.01,6385.43,47186.13,100.0,3438883.56,19,6,500,13,6,0,ECOM,Apple Pay,3438783.56,0.0,0.02680246582685607,0.2588970277118913,Очень высокая,Премиум,0
10044,2841,68367388.75,24064.55,13393.28,58922.14,228.49,2357011.17,8,5,333,13,6,0,ECOM,Bank's QR,2356782.6799999997,0.0,0.11721224920802534,0.2899808390960044,Средняя,Средний,0
10046,2099,28131964.01,13402.56,3875.05,33288.02,100.0,482291.24,19,6,337,13,6,0,QR_Code,Bank's QR,482191.24,0.0,0.16055264411624584,0.2870506213458903,Средняя,Средний,0
10047,137,1666200.21,12162.05,3529.01,20220.72,126.88,125115.07,8,6,44,12,6,0,ECOM,Google Pay,124988.19,0.0,0.32116788321167883,0.3755716388684476,Низкая,Низкий,0
10048,3021,85482244.29,28296.01,14513.74,64700.9,244.55,2286000.22,8,6,338,13,6,0,QR_Code,Bank's QR,2285755.6700000004,0.0,0.11188348229063225,0.3042682816020446,Средняя,Высокий,0
10049,3679,73781132.56,20054.67,7301.39,119441.59,171.19,5722769.95,8,5,422,13,6,0,ECOM,Bank's QR,5722598.76,0.0,0.11470508290296276,0.14376492961173296,Средняя,Средний,0
10050,453,5888104.04,12998.02,4229.91,28649.68,212.75,347366.09,11,5,103,13,6,0,Contactless,Bank's QR,347153.34,0.0,0.22737306843267108,0.312094545437083,Низкая,Низкий,0
10051,14212,93312868.58,6565.78,1970.8,17211.63,100.0,410990.7,19,5,500,13,6,0,QR_Code,Bank's QR,410890.7,0.0,0.03518153672952434,0.2761352056426667,Очень высокая,Высокий,0
10052,7646,283073154.6,37022.38,16198.58,109671.05,191.89,5243295.7,19,5,477,13,6,0,Contactless,Bank's QR,5243103.8100000005,0.0,0.06238556107768768,0.2523792647019024,Высокая,Премиум,0
10053,8218,232381885.85,28277.18,13709.46,75255.82,216.89,3849675.94,8,5,481,13,6,0,QR_Code,Bank's QR,3849459.05,0.0,0.05853005597468971,0.27312238609911815,Очень высокая,Премиум,0
10054,5631,215380865.48,38249.13,14466.93,118480.4,191.02,6156695.82,19,6,479,13,6,0,QR_Code,Bank's QR,6156504.800000001,0.0,0.08506481974782454,0.24404545844041003,Высокая,Премиум,0
10055,352,12461102.62,35400.86,15466.32,59119.41,442.66,429885.38,8,5,72,12,6,0,QR_Code,Bank's QR,429442.72000000003,0.0,0.20454545454545456,0.3745319390221801,Низкая,Низкий,0
10056,6779,271959351.34,40117.92,17923.73,87056.5,179.2,1644263.02,19,6,467,13,6,0,Contactless,Bank's QR,1644083.82,0.0,0.06888921669862812,0.3154558912083106,Высокая,Премиум,0
10057,8007,216385272.47,27024.51,7516.0,102539.28,100.0,3169043.22,19,6,483,13,6,0,ECOM,Bank's QR,3168943.22,0.0,0.0603222180591982,0.20858073077362124,Высокая,Премиум,0
10058,3797,61799997.62,16276.01,2967.65,57077.03,100.0,2254141.14,19,6,440,13,6,0,QR_Code,Bank's QR,2254041.14,0.0,0.11588095865156703,0.22188596409910213,Высокая,Средний,0
10059,4290,66357542.74,15467.96,4667.73,47860.72,100.0,1604602.7,8,6,459,13,6,0,QR_Code,Bank's QR,1604502.7,0.0,0.106993006993007,0.24424889323447127,Высокая,Средний,0
10060,169,3988063.76,23598.01,10070.38,44538.82,319.25,222154.0,13,6,34,9,6,0,Contactless,Bank's QR,221834.75,0.0,0.20118343195266272,0.3463326661953601,Низкая,Низкий,0
10061,414,13433548.19,32448.18,15822.31,54454.4,322.58,435058.48,19,1,100,11,6,0,QR_Code,Bank's QR,434735.89999999997,0.0,0.24154589371980675,0.37338569234653335,Низкая,Низкий,0
10062,5118,40823972.7,7976.55,3350.32,18501.52,100.0,402563.66,8,6,469,13,6,0,QR_Code,Bank's QR,402463.66,0.0,0.09163735834310277,0.3012511863591266,Высокая,Средний,0
10063,1039,13843858.65,13324.21,2774.57,40874.64,118.54,541658.58,19,6,217,13,6,0,ECOM,Google Pay,541540.0399999999,0.0,0.2088546679499519,0.24583934898987708,Низкая,Низкий,0
10064,368,8753432.68,23786.5,11761.66,37293.04,201.99,307195.0,17,5,80,13,6,0,ECOM,Bank's QR,306993.01,0.0,0.21739130434782608,0.38943482547511,Низкая,Низкий,0
10065,4379,75877653.18,17327.62,5461.35,44453.54,100.0,992899.37,8,6,439,13,6,0,QR_Code,Bank's QR,992799.37,0.0,0.10025119890385933,0.2804677024516859,Высокая,Средний,0
10066,1947,17537321.05,9007.36,2732.22,22511.05,111.11,463842.63,8,6,329,13,6,0,ECOM,Google Pay,463731.52,0.0,0.1689779147406266,0.2857809134407478,Средняя,Низкий,0
10067,1307,25394371.61,19429.51,6541.42,48157.37,185.68,739708.94,13,5,263,2,6,0,Unknown,Unknown,739523.2599999999,0.0,0.20122417750573834,0.28747458086539873,Низкая,Средний,1
10068,435,15010454.24,34506.79,19089.15,58393.46,165.14,477446.51,20,6,57,12,6,0,Contactless,Bank's QR,477281.37,0.0,0.1310344827586207,0.3714391511325319,Низкая,Низкий,0
10069,3557,107452915.45,30208.86,28000.0,26734.31,100.0,732567.78,8,6,164,13,6,0,Contactless,Bank's QR,732467.78,0.0,0.04610626932808547,0.5305089267071011,Средняя,Высокий,0
10070,7479,220093812.89,29428.24,27880.9,26997.93,100.0,1317933.91,19,6,296,13,6,0,Contactless,Bank's QR,1317833.91,0.0,0.03957748362080492,0.5215353088823856,Высокая,Премиум,0
10071,9922,218838860.43,22055.92,8214.42,63970.34,120.63,2155260.91,8,5,495,13,6,0,QR_Code,Bank's QR,2155140.2800000003,0.0,0.04988913525498891,0.2563858989104025,Очень высокая,Премиум,0
10072,3472,19587743.27,5641.63,1756.8,12601.11,100.0,245441.99,8,6,344,13,6,0,QR_Code,Bank's QR,245341.99,0.0,0.09907834101382489,0.30925343451696397,Средняя,Низкий,0
10073,5335,143081054.57,26819.32,11622.43,66434.89,139.42,1781774.86,19,5,463,13,6,0,QR_Code,Bank's QR,1781635.4400000002,0.0,0.08678537956888473,0.2875936646720829,Высокая,Высокий,0
10074,156,4489595.93,28779.46,12457.8,48842.06,494.29,227303.52,9,6,40,10,6,0,Contactless,Bank's QR,226809.22999999998,0.0,0.2564102564102564,0.37076650908150216,Низкая,Низкий,0
10075,761,30115902.53,39574.12,14385.34,88767.06,416.53,874061.25,19,6,188,12,6,0,QR_Code,Bank's QR,873644.72,0.0,0.24704336399474375,0.3083509127779564,Низкая,Средний,0
10076,4570,260388295.77,56977.75,14866.14,212064.22,203.09,4393826.06,8,6,462,13,6,0,QR_Code,Bank's QR,4393622.97,0.0,0.10109409190371992,0.21178015459818408,Высокая,Премиум,0
10077,464,3028782.32,6527.55,1744.54,19082.68,100.0,206127.0,19,5,126,9,6,0,QR_Code,Bank's QR,206027.0,0.0,0.27155172413793105,0.2548805692100383,Низкая,Низкий,0
10078,8978,119182339.79,13274.93,5621.78,32769.34,100.0,1059597.1,19,5,493,13,6,0,Contactless,Bank's QR,1059497.1,0.0,0.05491200712853642,0.28830796969959566,Очень высокая,Высокий,0
10079,2117,12302499.19,5811.29,1756.0,14604.6,100.0,304488.71,8,6,262,13,6,0,QR_Code,Bank's QR,304388.71,0.0,0.12376003778932451,0.284645440389814,Средняя,Низкий,0
10080,30371,294582764.65,9699.48,2767.54,27464.23,100.0,1942531.01,8,5,500,13,6,0,QR_Code,Bank's QR,1942431.01,0.0,0.016463073326528598,0.26099331848192764,Очень высокая,Премиум,0
10081,5432,350817455.7,64583.48,15898.46,234768.57,164.12,9671234.21,8,6,451,13,6,0,ECOM,Bank's QR,9671070.090000002,0.0,0.08302650957290132,0.21574423826394376,Высокая,Премиум,0
10082,18699,291299205.62,15578.33,4015.53,44796.41,100.0,1653327.39,19,6,500,13,6,0,QR_Code,Bank's QR,1653227.39,0.0,0.026739397828760895,0.2580272809456405,Очень высокая,Премиум,0
10083,799,26822663.5,33570.29,15008.48,79979.53,230.29,1842343.2,11,6,153,13,6,0,Contactless,Bank's QR,1842112.91,0.0,0.19148936170212766,0.2956437095188702,Низкая,Средний,0
10084,918,10257447.19,11173.69,2996.24,32610.34,100.0,672401.53,18,5,224,13,6,0,ECOM,Google Pay,672301.53,0.0,0.2440087145969499,0.2552001266215102,Низкая,Низкий,0
10085,10645,175457156.54,16482.59,7286.24,42297.68,109.66,2082487.9,8,5,493,13,6,0,ECOM,Bank's QR,2082378.24,0.0,0.046312822921559416,0.2804102464993781,Очень высокая,Премиум,0
10086,4236,127167189.55,30020.58,7739.94,98640.59,110.57,3333611.69,18,6,421,13,6,0,Contactless,Bank's QR,3333501.12,0.0,0.0993862134088763,0.23333053787712332,Высокая,Высокий,0
10087,2763,93608028.88,33879.13,9030.21,107466.6,166.05,2563492.89,8,5,369,13,6,0,QR_Code,Bank's QR,2563326.8400000003,0.0,0.13355048859934854,0.23968980173649393,Средняя,Высокий,0
10088,5172,114870557.27,22210.08,9109.88,54773.5,160.67,2398353.01,20,6,455,13,6,0,ECOM,Bank's QR,2398192.34,0.0,0.0879737045630317,0.2885041199694792,Высокая,Высокий,0
10089,22588,129619784.2,5738.44,1904.47,16624.97,100.0,717431.45,19,6,500,13,6,0,QR_Code,Bank's QR,717331.45,0.0,0.022135647246325482,0.25659950785680713,Очень высокая,Высокий,0
10090,6292,188002988.32,29879.69,27000.0,39405.82,100.0,2047389.24,8,6,286,13,6,0,Contactless,Bank's QR,2047289.24,0.0,0.045454545454545456,0.4312545292659316,Высокая,Премиум,0
10091,1790,49229192.68,27502.34,13413.4,65560.47,273.47,1859381.45,8,6,268,13,6,0,ECOM,Bank's QR,1859107.98,0.0,0.14972067039106146,0.29552449576796574,Средняя,Средний,0
10092,700,14369233.71,20527.48,7855.4,37499.33,270.8,415960.09,20,5,154,13,6,0,QR_Code,Bank's QR,415689.29000000004,0.0,0.22,0.35375854712675053,Низкая,Низкий,0
10093,25179,163523097.77,6494.42,1708.52,19437.17,100.0,1008860.84,19,6,500,13,6,0,QR_Code,Bank's QR,1008760.84,0.0,0.019857818022955637,0.25044434220963696,Очень высокая,Высокий,0
10094,2194,16105704.75,7340.8,2822.52,16520.47,100.0,248899.17,8,6,365,13,6,0,QR_Code,Bank's QR,248799.17,0.0,0.16636280765724704,0.3076449828529663,Средняя,Низкий,0
10095,1414,33615628.95,23773.43,5983.94,55221.09,100.0,888401.58,13,6,278,13,6,0,ECOM,Apple Pay,888301.58,0.0,0.1966053748231966,0.3009503697218491,Средняя,Средний,0
10096,3200,85889615.45,26840.5,12433.8,76349.9,205.61,1985874.57,13,6,400,13,6,0,ECOM,Bank's QR,1985668.96,0.0,0.125,0.260106560300183,Средняя,Высокий,0
10097,5812,81171305.6,13966.16,6433.6,37562.59,105.81,1537129.39,8,6,450,13,6,0,ECOM,Apple Pay,1537023.5799999998,0.0,0.0774260151410874,0.271036266162094,Высокая,Высокий,0
10098,1440,59521023.31,41334.04,18606.17,133867.07,309.98,2154030.32,20,6,261,13,6,0,ECOM,Apple Pay,2153720.34,0.0,0.18125,0.2359233911246338,Средняя,Средний,0
10099,6902,121945379.53,17668.12,6787.44,59422.98,145.01,2995702.02,19,6,483,13,6,0,QR_Code,Bank's QR,2995557.0100000002,0.0,0.06997971602434078,0.22918495131085168,Высокая,Высокий,0
10101,3504,53704378.95,15326.59,3896.4,55188.38,100.0,1645741.97,19,5,438,2,6,0,Unknown,Unknown,1645641.97,0.0,0.125,0.21735228703919182,Средняя,Средний,1
10102,282,5343954.38,18950.19,5944.89,34082.46,343.6,260834.19,10,6,60,13,6,0,QR_Code,Bank's QR,260490.59,0.0,0.2127659574468085,0.35733062556745704,Низкая,Низкий,0
10103,5286,81385971.32,15396.51,7289.24,32005.06,100.0,976235.05,19,5,468,13,6,0,QR_Code,Bank's QR,976135.05,0.0,0.08853575482406356,0.3248101275970395,Высокая,Высокий,0
10104,19656,149426669.14,7602.09,2740.1,20572.63,100.0,866230.47,19,6,500,13,6,0,QR_Code,Bank's QR,866130.47,0.0,0.02543752543752544,0.26981954035390593,Очень высокая,Высокий,0
10105,4052,66351368.29,16374.97,6741.37,35867.2,100.0,744258.61,13,6,437,13,6,0,QR_Code,Bank's QR,744158.61,0.0,0.10784797630799606,0.3134435265610138,Высокая,Средний,0
10106,1232,37948842.44,30802.63,29000.0,17541.3,100.0,122993.0,8,6,44,13,6,0,Chip,Bank's QR,122893.0,0.0,0.03571428571428571,0.6371561021207833,Низкая,Средний,0
10107,2564,112628151.13,43926.74,23292.21,114706.36,157.88,2496370.9,19,6,284,13,6,0,ECOM,Apple Pay,2496213.02,0.0,0.11076443057722309,0.2769077828019499,Средняя,Высокий,0
10108,885,22446014.9,25362.73,9228.96,68889.57,212.67,1207504.24,8,6,195,13,6,0,QR_Code,Bank's QR,1207291.57,0.0,0.22033898305084745,0.26909401680383394,Низкая,Средний,0
10109,9518,169333772.91,17790.9,7665.34,37451.24,105.44,846679.89,19,6,489,13,6,0,ECOM,Samsung Pay,846574.4500000001,0.0,0.051376339567135956,0.32205305587365013,Очень высокая,Высокий,0
10110,2858,96666130.67,33823.0,11429.99,84552.38,124.27,1894138.37,19,5,392,13,6,0,QR_Code,Bank's QR,1894014.1,0.0,0.1371588523442967,0.2857266434963081,Средняя,Высокий,0
10111,374,10665699.42,28517.91,13605.3,48950.68,206.52,254454.41,9,6,66,13,6,0,Contactless,Bank's QR,254247.89,0.0,0.17647058823529413,0.36812222863485705,Низкая,Низкий,0
10112,13066,353251961.29,27035.97,13299.6,66900.24,155.18,2390011.19,8,5,496,13,6,0,QR_Code,Bank's QR,2389856.01,0.0,0.037961120465329866,0.2878120162608221,Очень высокая,Премиум,0
10113,1884,18168040.47,9643.33,2929.62,33032.82,101.94,1054120.85,20,6,312,13,6,0,ECOM,Google Pay,1054018.9100000001,0.0,0.16560509554140126,0.22596532255135482,Средняя,Низкий,0
10114,3761,51615171.27,13723.79,5420.75,31074.63,100.0,672866.05,8,6,423,13,6,0,QR_Code,Bank's QR,672766.05,0.0,0.11247008774262164,0.30634540236017255,Высокая,Средний,0
10115,8704,296567193.82,34072.52,9374.12,141832.71,122.58,6466076.67,19,6,487,13,6,0,ECOM,Bank's QR,6465954.09,0.0,0.055951286764705885,0.1936981634940587,Очень высокая,Премиум,0
10117,2932,40144030.35,13691.69,5470.58,27788.38,100.0,475498.61,8,5,383,13,6,0,Contactless,Bank's QR,475398.61,0.0,0.13062755798090042,0.330078758304892,Средняя,Средний,0
10118,383,11829360.69,30886.06,16000.0,54683.2,115.26,428960.16,9,6,63,12,6,0,Contactless,Bank's QR,428844.89999999997,0.0,0.16449086161879894,0.36094807878436724,Низкая,Низкий,0
10119,5246,403203571.57,76859.24,22375.56,219979.56,333.41,5038397.95,8,6,479,13,6,0,QR_Code,Bank's QR,5038064.54,0.0,0.09130766298131911,0.25892585470632545,Высокая,Премиум,0
10120,296,7504797.61,25354.05,13581.23,37854.6,337.71,180036.0,19,6,59,11,6,0,Contactless,Bank's QR,179698.29,0.0,0.19932432432432431,0.40111677752965774,Низкая,Низкий,0
10121,1396,42411978.33,30381.07,9781.48,239814.42,264.63,8721434.02,19,6,242,13,6,0,ECOM,Bank's QR,8721169.389999999,0.0,0.17335243553008595,0.1124410699823302,Средняя,Средний,0
10122,16544,258506069.32,15625.37,6900.11,32833.7,100.0,1045119.63,8,6,500,13,6,0,ECOM,Samsung Pay,1045019.63,0.0,0.030222437137330756,0.3224446940479873,Очень высокая,Премиум,0
10123,469,8175363.33,17431.48,6785.2,33702.39,119.92,425107.49,19,6,105,13,6,0,Contactless,Bank's QR,424987.57,0.0,0.22388059701492538,0.3408988993009917,Низкая,Низкий,0
10124,5799,68320231.71,11781.38,3152.33,37648.2,100.0,1141745.07,8,6,473,13,6,0,QR_Code,Bank's QR,1141645.07,0.0,0.08156578720469046,0.23834675512112383,Высокая,Средний,0
10125,1206,18557357.2,15387.53,3712.95,143453.6,131.6,4895340.31,19,6,247,13,6,0,QR_Code,Bank's QR,4895208.71,0.0,0.20480928689883915,0.09687371274681815,Низкая,Низкий,0
10126,4805,162087861.97,33733.17,25170.55,57716.07,232.75,1838220.71,19,6,280,13,6,0,Contactless,Bank's QR,1837987.96,0.0,0.05827263267429761,0.36887315848660956,Высокая,Высокий,0
10127,5917,251329034.28,42475.75,13769.54,192132.04,120.84,11194034.44,8,6,460,13,6,0,ECOM,Bank's QR,11193913.6,0.0,0.07774209903667399,0.18105004100673722,Высокая,Премиум,0
10128,2133,33176634.28,15553.98,6131.56,56556.89,125.95,2192850.27,19,5,329,13,6,0,QR_Code,Bank's QR,2192724.32,0.0,0.15424285044538208,0.21569535910466758,Средняя,Средний,0
10129,12710,307664819.59,24206.52,6749.19,95180.05,100.0,5714554.63,8,6,498,13,6,0,ECOM,Bank's QR,5714454.63,0.0,0.03918174665617624,0.20275747933791885,Очень высокая,Премиум,0
10130,17068,232022162.18,13593.99,3511.13,39763.88,100.0,1666595.49,19,5,500,13,6,0,QR_Code,Bank's QR,1666495.49,0.0,0.02929458636044059,0.2547701023297969,Очень высокая,Премиум,0
10131,1396,27016063.23,19352.48,6464.38,77375.96,137.2,2121343.78,8,6,213,13,6,0,ECOM,Samsung Pay,2121206.5799999996,0.0,0.15257879656160458,0.20007021719775486,Средняя,Средний,0
10132,8369,163724283.64,19563.18,7320.03,57121.47,100.0,2013548.92,19,6,481,13,6,0,ECOM,Google Pay,2013448.92,0.0,0.05747401123192735,0.25511207262470387,Очень высокая,Высокий,0
10133,1883,9808974.37,5209.23,1653.41,11588.72,100.0,153127.22,8,6,236,13,6,0,QR_Code,Bank's QR,153027.22,0.0,0.1253319171534785,0.31011105521804744,Средняя,Низкий,0
10134,119,2487528.4,20903.6,7393.78,37585.73,339.85,181427.0,8,6,26,10,4,0,QR_Code,Bank's QR,181087.15,0.0,0.2184873949579832,0.35739168152550216,Низкая,Низкий,0
10135,2445,74520875.46,30478.89,6762.02,167247.21,157.86,5316998.82,8,5,359,13,6,0,QR_Code,Bank's QR,5316840.96,0.0,0.14683026584867076,0.1541470245961459,Средняя,Средний,0
10136,545,12143225.97,22281.15,5673.51,58006.03,138.08,688014.28,8,6,149,13,6,0,ECOM,Google Pay,687876.2000000001,0.0,0.27339449541284405,0.2775181542059392,Низкая,Низкий,0
10137,1652,29103627.46,17617.21,7154.56,36388.17,143.47,474019.46,8,6,210,13,6,0,ECOM,Samsung Pay,473875.99000000005,0.0,0.1271186440677966,0.32621212923601317,Средняя,Средний,0
10138,16645,434308377.12,26092.42,9672.35,72575.86,100.0,3982157.9,19,6,500,13,6,0,QR_Code,Bank's QR,3982057.9,0.0,0.030039050765995796,0.2644458786552274,Очень высокая,Премиум,0
10139,3660,16479196.02,4502.51,1339.92,10009.31,100.0,174871.42,19,6,358,13,6,0,QR_Code,Bank's QR,174771.42,0.0,0.09781420765027322,0.31026501155609704,Средняя,Низкий,0
10140,5080,147088130.3,28954.36,27000.0,22588.9,100.0,604210.86,19,5,242,13,6,0,Contactless,Bank's QR,604110.86,0.0,0.047637795275590554,0.5617487136048438,Высокая,Высокий,0
10141,2414,114403573.59,47391.7,24489.36,122455.76,219.68,2490837.22,19,6,278,13,6,0,ECOM,Google Pay,2490617.54,0.0,0.11516155758077878,0.2790250734394262,Средняя,Высокий,0
